"filename", "language", "Markdown", "JSON", "JavaScript", "Batch", "Python", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\README.md", "Markdown", 196, 0, 0, 0, 0, 0, 0, 0, 87, 283
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\config\config.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 15, 13, 54
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\config\constants.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 11, 9, 93
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\package-lock.json", "JSON", 0, 936, 0, 0, 0, 0, 0, 0, 1, 937
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\package.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\solclick_googl\background.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\solclick_googl\content.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 1, 3, 13
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\solclick_googl\login\login.html", "HTML", 0, 0, 0, 0, 0, 51, 0, 0, 5, 56
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\solclick_googl\login\script.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 49, 17, 133
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\solclick_googl\manifest.json", "JSON", 0, 74, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\solclick_googl\popup.html", "HTML", 0, 0, 0, 0, 0, 77, 0, 0, 6, 83
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\solclick_googl\popup.js", "JavaScript", 0, 0, 188, 0, 0, 0, 0, 97, 43, 328
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\solclick_googl\styles\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\README-OPTIMIZED.md", "Markdown", 77, 0, 0, 0, 0, 0, 0, 0, 34, 111
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\data\user-settings.json", "JSON", 0, 70, 0, 0, 0, 0, 0, 0, 0, 70
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\models\User.js", "JavaScript", 0, 0, 175, 0, 0, 0, 0, 14, 11, 200
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\optimize.bat", "Batch", 0, 0, 0, 28, 0, 0, 0, 2, 4, 34
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\package-lock.json", "JSON", 0, 3061, 0, 0, 0, 0, 0, 0, 1, 3062
"c:\Users\fese\OneDrive\Documents\sol bot main 1111111\telegrambot\package.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
